CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Ammonia and ammonium,mg/l as N,,USGS CL038,"Ammonia, LIS, ASF salicylate",608,1000,1000,Ammonia in low ionic strength (LIS) water by automated segmented flow (ASF) salicylate/hypochlorite colorimetry
Ammonia and ammonium,mg/l as N,,USGS CL039,"Nutrients, LL, wf, color",608,1000,1000,"Nutrients, low level, filtered water, salicylate-hypochlorite, colorimetric"
Ammonia and ammonium,mg/l as N,,USGS SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",608,1000,1000,Ammonia in filtered water by discrete analyzer salicylate-hypochlorite reaction and colorimetry (formerly Mcode 00048; NWQL)
Ammonia and ammonium,mg/l NH4,,NA NA,,71846,-1.00E+06,-1.00E+06,drop calculated
Ammonia and ammonium,mg/l NH4,,USGS S0438,"Ammonia, wf, calculated",71846,-1.00E+06,-1.00E+06,drop calculated
Ammonia and ammonium,,mg/l as N,NA NA,,608,1000,1000,unknown
Ammonia and ammonium,,mg/l as N,USGS 00048,"Nutrients, wf, color, DA",608,1000,1000,Ammonia in filtered water by discrete analyzer salicylate-hypochlorite reaction and colorimetry (formerly Mcode 00048; NWQL)
Ammonia and ammonium,,mg/l as N,USGS CL035,"Ammonia, wf, ASF salicylate",608,1000,1000,Ammonia in filtered water by automated segmented flow (ASF) salicylate/hypochlorite colorimetry
Ammonia and ammonium,,mg/l as N,USGS CL037,"Nutrients, wf, salicylate color",608,1000,1000,"Nutrients, filtered water, salicylate-hypochlorite, colorimetric"
Ammonia and ammonium,,mg/l as N,USGS CL038,"Ammonia, LIS, ASF salicylate",608,1000,1000,Ammonia in low ionic strength (LIS) water by automated segmented flow (ASF) salicylate/hypochlorite colorimetry
Ammonia and ammonium,,mg/l as N,USGS CL039,"Nutrients, LL, wf, color",608,1000,1000,"Nutrients, low level, filtered water, salicylate-hypochlorite, colorimetric"
Ammonia and ammonium,,mg/l as N,USGS SHC02,"Ammonia, wf, DA sal/hypo (NWQL)",608,1000,1000,Ammonia in filtered water by discrete analyzer salicylate-hypochlorite reaction and colorimetry (formerly Mcode 00048; NWQL)
Ammonium,mg/l,mg/l,APHA 4110-C,4110 C ~ Single Column Ion Chromatography,,-1.00E+06,-1.00E+06,
Ammonium,mg/l,mg/l,APHA 4500-NH3 G,4500 NH3 G ~ Ammonia by Automated Phenate,,1000,1000,Ammonium as N
Ammonium,mg/l,mg/l,USEPA 350.1,Ammonia Nitrogen by Colorimetry,,1000,1000,Ammonium as N
Ammonium,,mg/l,USEPA 350.1,Ammonia Nitrogen by Colorimetry,,1000,1000,Ammonium as N
