CharacteristicName,ResultMeasure.MeasureUnitCode,DetectionQuantitationLimitMeasure.MeasureUnitCode,Method_Id,ResultAnalyticalMethod.MethodName,USGSPCode,Conversion,Conversion_dl,Notes
Inorganic nitrogen (nitrate and nitrite),mg/l as N,,NA NA,,630,1000,1000,
Inorganic nitrogen (nitrate and nitrite),mg/l as N,,NA NA,,631,1000,1000,
Inorganic nitrogen (nitrate and nitrite),mg/l as N,,USGS CL045,"NO2+NO3, wf, Cd reduction ASF",631,1000,1000,
Inorganic nitrogen (nitrate and nitrite),mg/l as N,,USGS CL048,"Nutrients, wf, Cd reduct, color",631,1000,1000,
Inorganic nitrogen (nitrate and nitrite),mg/l as N,,USGS CL049,"NO2+NO3, LIS, Cd reduction ASF",631,1000,1000,
Inorganic nitrogen (nitrate and nitrite),mg/l as N,,USGS CL050,"Nutrients, LL, wf, Cd reduct",631,1000,1000,
Inorganic nitrogen (nitrate and nitrite),mg/l as N,,USGS CL081,"NO2+NO3, wu, ASF Cd-reduct(NWQL)",630,1000,1000,
Inorganic nitrogen (nitrate and nitrite),mg/l as N,,USGS RED01,"NO3+NO2, wf, FCC,NaR, DA",631,1000,1000,
Inorganic nitrogen (nitrate and nitrite),ug/l,ug/l,11NPSWRD_WQX USGS_CL048,"Nutrients, Cd reduct, color",,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,ug/l,R10BUNKER I2546,I2546,,1,1,As N
Inorganic nitrogen (nitrate and nitrite),ug/l,ug/l,R10BUNKER USGS_HIST,USGS_HIST,,1,1,assumed as N
Inorganic nitrogen (nitrate and nitrite),ug/l,ug/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,ug/l,USGS CL048,"Nutrients, wf, Cd reduct, color",631,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,ug/l,USGS CL050,"Nutrients, LL, wf, Cd reduct",631,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,ug/l,UTAHDWQ_WQX GENERIC METHOD2,Used for half of methods where historical methodology may not be available.,,-1.00E+06,-1.00E+06,
Inorganic nitrogen (nitrate and nitrite),ug/l,,11NPSWRD_WQX NPS_Unspecified,Unknown or Unspecified Procedure,,-1.00E+06,-1.00E+06,
Inorganic nitrogen (nitrate and nitrite),ug/l,,MDEDAT03_WQX NITR-01,Nitrogen in Water,,1,1,assummed is N based on method name
Inorganic nitrogen (nitrate and nitrite),ug/l,,NA NA,,630,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,,NA NA,,631,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,,R10BUNKER I2546,I2546,,1,1,as N
Inorganic nitrogen (nitrate and nitrite),ug/l,,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,,USGS CL045,"NO2+NO3, wf, Cd reduction ASF",631,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,,USGS CL048,"Nutrients, wf, Cd reduct, color",631,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,,USGS CL049,"NO2+NO3, LIS, Cd reduction ASF",631,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,,USGS CL050,"Nutrients, LL, wf, Cd reduct",631,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,,USGS CL081,"NO2+NO3, wu, ASF Cd-reduct(NWQL)",630,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,,USGS RED01,"NO3+NO2, wf, FCC,NaR, DA",631,1,1,
Inorganic nitrogen (nitrate and nitrite),ug/l,,UTAHDWQ_WQX GENERIC METHOD2,Used for half of methods where historical methodology may not be available.,,-1.00E+06,-1.00E+06,unknown what form
Inorganic nitrogen (nitrate and nitrite),,mg/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,1000,1000,
Inorganic nitrogen (nitrate and nitrite),,mg/l as N,NA NA,,630,1000,1000,
Inorganic nitrogen (nitrate and nitrite),,mg/l as N,NA NA,,631,1000,1000,
Inorganic nitrogen (nitrate and nitrite),,mg/l as N,USGS CL045,"NO2+NO3, wf, Cd reduction ASF",631,1000,1000,
Inorganic nitrogen (nitrate and nitrite),,mg/l as N,USGS CL048,"Nutrients, wf, Cd reduct, color",631,1000,1000,
Inorganic nitrogen (nitrate and nitrite),,mg/l as N,USGS CL049,"NO2+NO3, LIS, Cd reduction ASF",631,1000,1000,
Inorganic nitrogen (nitrate and nitrite),,mg/l as N,USGS CL050,"Nutrients, LL, wf, Cd reduct",631,1000,1000,
Inorganic nitrogen (nitrate and nitrite),,mg/l as N,USGS CL081,"NO2+NO3, wu, ASF Cd-reduct(NWQL)",630,1000,1000,
Inorganic nitrogen (nitrate and nitrite),,ug/l,NA NA,,630,1,1,
Inorganic nitrogen (nitrate and nitrite),,ug/l,NA NA,,631,1,1,
Inorganic nitrogen (nitrate and nitrite),,ug/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,1,1,
Inorganic nitrogen (nitrate and nitrite),,ug/l,USGS CL045,"NO2+NO3, wf, Cd reduction ASF",631,1,1,
Inorganic nitrogen (nitrate and nitrite),,ug/l,USGS CL048,"Nutrients, wf, Cd reduct, color",631,1,1,
Inorganic nitrogen (nitrate and nitrite),,ug/l,USGS CL049,"NO2+NO3, LIS, Cd reduction ASF",631,1,1,
Inorganic nitrogen (nitrate and nitrite),,ug/l,USGS CL050,"Nutrients, LL, wf, Cd reduct",631,1,1,
Inorganic nitrogen (nitrate and nitrite),,ug/l,USGS CL081,"NO2+NO3, wu, ASF Cd-reduct(NWQL)",630,1,1,
Inorganic nitrogen (nitrate and nitrite),,,USGS RED02,"NO3+NO2, wf, FCC,NaR, DA, LL",631,-1.00E+06,-1.00E+06,no units
Inorganic nitrogen (nitrate and nitrite) as N,mg/l,,APHA 4500-NO3(G),,,1000,1000,
Inorganic nitrogen (nitrate and nitrite) as N,mg/l,,NA NA,,,1000,1000,
Inorganic nitrogen (nitrate and nitrite) as N,ug/l,,APHA 4500-NO3(G),,,1,1,
Inorganic nitrogen (nitrate and nitrite) as N,ug/l,,NA NA,,,1,1,
Inorganic nitrogen (nitrate and nitrite) as N,,,NA NA,,,-1.00E+06,-1.00E+06,no units
Nitrate,mg/l,mg/l,11NPSWRD_WQX USGS_UNSPEC,Unspecified USGS Lab Analytical Procedures at NWQL Following Standard Protocols,,1000,1000,USGS-usually as N
Nitrate,mg/l,mg/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,1000,1000,
Nitrate,mg/l,,MDE_FIELDSERVICES_WQX MISC_CALC,Miscellaneous Calculations for Nutrients,,-1.00E+06,-1.00E+06,Unknown
Nitrate,mg/l,,USEPA 300.0,Determination of Inorganic Anions by Ion Chromatography,,1000,1000,
Nitrate,mg/l as N,,NA NA,,618,1000,1000,
Nitrate,mg/l as N,,NA NA,,99121,1000,1000,
Nitrate,mg/l asNO3,,NA NA,,71851,225.9,225.9,
Nitrate,ug/l,ug/l,11NPSWRD_WQX USGS_UNSPEC,Unspecified USGS Lab Analytical Procedures at NWQL Following Standard Protocols,,1,1,
Nitrate,ug/l,ug/l,USEPA 300,Inorganic Anions by Ion Chromatography,,1,1,
Nitrate,ug/l,ug/l,USEPA 300.0,Determination of Inorganic Anions by Ion Chromatography,,1,1,
Nitrate,ug/l,ug/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,1,1,
Nitrate,ug/l,,APHA 4500-P-E,4500 P E ~ Phosphorus in Water by Colorimetry- Ascorbic Acid Method,,-1.00E+06,-1.00E+06,Method listed is for P
Nitrate,ug/l,,MDE_FIELDSERVICES_WQX MISC_CALC,Miscellaneous Calculations for Nutrients,,-1.00E+06,-1.00E+06,unknown
Nitrate,ug/l,,NA NA,,618,1,1,
Nitrate,ug/l,,NA NA,,71851,0.2259,0.2259,NO3-NO3
Nitrate,ug/l,,NA NA,,99121,1,1,
Nitrate,ug/l,,USEPA 300,Inorganic Anions by Ion Chromatography,,1,1,
Nitrate,ug/l,,USEPA 300.0,Determination of Inorganic Anions by Ion Chromatography,,1,1,
Nitrate,ug/l,,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,1,1,
Nitrate,,,NA NA,,,-1.00E+06,-1.00E+06,Unknown
Nitrate + Nitrite,mg/l,mg/l,ASTM D7781,Nitrite-Nitrate in Water by Nitrate Reductase,,1000,1000,
Nitrate + Nitrite,mg/l,mg/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,1000,1000,
Nitrate + Nitrite,ug/l,ug/l,ASTM D7781,Nitrite-Nitrate in Water by Nitrate Reductase,,1,1,NO3-N
Nitrate + Nitrite,ug/l,ug/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,1,1,
Nitrate as N,mg/l,,APHA 4500-NO3(G),,,1000,1000,
Nitrate as N,mg/l,,USEPA 300(A),,,1000,1000,
Nitrate as N,ug/l,,APHA 4500-NO3(G),,,1,1,
Nitrate as N,ug/l,,USEPA 300(A),,,1,1,
Nitrogen,mg/l,mg/l,APHA 4500-N-C,4500 N C ~ Persufate Method for Total Nitrogen,,-1.00E+06,-1.00E+06,discard
Nitrogen,mg/l,mg/l,USEPA 353.2,Nitrate-Nitrite Nitrogen by Colorimetry,,1000,1000,
Nitrogen,mg/l,,APHA 4500-N-C,4500 N C ~ Persufate Method for Total Nitrogen,,-1.00E+06,-1.00E+06,discard
Nitrogen,ug/l,ug/l,USEPA 350.1,Ammonia Nitrogen by Colorimetry,,-1.00E+06,-1.00E+06,discard
